"ATHLETE","DATE","AAL","SPEEDMAX","JUMPS","PHYSIOLOAD","EXERTIONS","DISTANCE","TIME","COUNTERMOVEMENT_DEPTH","PEAK_POWER_BM","FLIGHT_TIME","JUMP_HEIGHT_FT_RELATIVE_LANDING_RFD","JUMP_HEIGHT_FT_RELATIVE_PEAK_LANDING_FORCE","JUMP_HEIGHT_IMP_DIS","JUMP_HEIGHT_IMP_MOM","LANDING_RFD","MEAN_LANDING_ACCELERATION","MEAN_LANDING_POWER","MEAN_LANDING_VELOCITY","MEAN_TAKEOFF_ACCELERATION","CONCENTRIC_MEAN_FORCE","ECCENTRIC_MEAN_FORCE","ECCENTRIC_MEAN_POWER","ECCENTRIC_CONCENTRIC_MEAN_FORCE_RATIO","CONCENTRIC_MEAN_POWER","CONCENTRIC_MEAN_POWER_BM","ECCENTRIC_MEAN_POWER_BM","MEAN_TAKEOFF_VELOCITY","PEAK_LANDING_ACCELERATION","PEAK_LANDING_FORCE","PEAK_LANDING_POWER","PEAK_LANDING_VELOCITY","PEAK_TAKEOFF_ACCELERATION","TAKEOFF_PEAK_FORCE","PEAK_POWER","CONCENTRIC_PEAK_VELOCITY","CONCENTRIC_RFD","CONCENTRIC_TIME_TO_PEAK_FORCE","CONTRACTION_TIME","ECCENTRIC_DURATION","LANDING_NET_PEAK_FORCE_BM","PEAK_NET_TAKEOFF_FORCE_BM","CONCENTRIC_RFD_BM","VERTICAL_VELOCITY_AT_TAKEOFF","CONCENTRIC_DURATION","CONTRACTION_TIME_ECCENTRIC_DURATION","ECCENTRIC_CONCENTRIC_DURATION","FLIGHT_TIME_CONTRACTION_TIME","FLIGHT_TIME_ECCENTRIC_DURATION","MINIMUM_ECCENTRIC_FORCE","BRAKING_PHASE_DURATION","TIME_TO_BRAKING_PHASE","ECCENTRIC_ACCELERATION_PHASE_DURATION","ECCENTRIC_DECELERATION_PHASE_DURATION","BRAKING_PHASE_DURATION_CONTRACTION_TIME","BRAKING_PHASE_DURATION_CONCENTRIC_DURATION","ECCENTRIC_MEAN_BRAKING_FORCE","ECCENTRIC_MEAN_DECELERATION_FORCE","FORCE_AT_PEAK_POWER","P_1_CONCENTRIC_IMPULSE","P_2_CONCENTRIC_IMPULSE","ECCENTRIC_BRAKING_RFD","ECCENTRIC_BRAKING_RFD_BM","ECCENTRIC_DECELERATION_RFD","TAKEOFF_PEAK_FORCE_BM","CONCENTRIC_PEAK_FORCE","CONCENTRIC_PEAK_FORCE_BM","ECCENTRIC_PEAK_FORCE","ECCENTRIC_PEAK_FORCE_BM","PEAK_LANDING_FORCE_BM","MEAN_ECCENTRIC_CONCENTRIC_POWER_TIME","LOWER_LIMB_STIFFNESS","CONCENTRIC_RPD","CONCENTRIC_RPD_BM","RSI_MODIFIED","TOTAL_WORK","VELOCITY_AT_PEAK_POWER","ECCENTRIC_PEAK_VELOCITY","ECCENTRIC_PEAK_POWER","ECCENTRIC_BRAKING_IMPULSE","ECCENTRIC_DECELERATION_IMPULSE","CONCENTRIC_IMPULSE","FORCE_AT_ZERO_VELOCITY","POSITIVE_IMPULSE","ECCENTRIC_UNLOADING_IMPULSE","POSITIVE_TAKEOFF_IMPULSE","CMJ_STIFFNESS","CONCENTRIC_MEAN_FORCE_BM","ECCENTRIC_PEAK_POWER_BM","ECCENTRIC_PEAK_POWER_CONCENTRIC_PEAK_POWER","P_2_CONCENTRIC_IMPULSE_P_1_CONCENTRIC_IMPULSE","CONCENTRIC_IMPULSE_100_MS_CONCENTRIC_IMPULSE","LANDING_IMPULSE","ECCENTRIC_DECELERATION_IMPULSE_BM","DISPLACEMENT_AT_TAKEOFF","FORCE_AT_ZERO_VELOCITY_BM","RSI_MODIFIED_IMP_MOM"
1,"2023-11-08",0.746433489044663,-1.0113768087506,-0.372197333347038,-0.441080467171537,0.827107053991325,0.546288285045697,0.558788697629354,-0.482100252869822,0.396597033695229,0.98606655997786,-0.573284386473872,-0.771236257021048,0.109357364579145,0.0589703554884664,-0.514649431548456,0.736615536907754,-0.482677052662197,0.629418355643834,-0.806022875236605,-1.86171359579221,-1.57566594717763,-1.44364727693406,0.745736275164334,-1.78354980083783,-0.97120531948875,-0.922760646197121,-1.33037381215086,-0.0687818470644369,-0.635224655175085,-0.427680915556889,0.112368557669978,-0.74995992849919,-1.81637154002005,-1.54325025241678,0.0414967023847477,1.00265500022135,1.2837423156143,1.28168058430301,1.52241363625377,-0.0687818470644369,-0.755656478726101,1.2836727088652,0.0747741370509555,0.883623285768659,-1.13463122934047,1.1151599739295,-0.949457968557762,-1.07632589889595,0.660728517982006,2.20840936388066,-0.0369645499845054,0.253546739968026,2.14542563501452,1.59500492114936,2.83676147940119,-1.79754239804124,-1.88479829432981,-1.67625435956759,-1.54717435603761,-0.0404874708666508,-1.82166098453484,-1.54418425600128,-1.51678412163399,-0.755640429351713,-1.83678557719551,-0.749945353845849,-1.81571810852528,-1.47203364580593,-0.0687756412028432,-1.070470517034,-1.65893354585814,-1.30949036457828,-0.643150340429771,-0.648600340052343,-0.924015263503782,0.0536441844011553,1.39548839851721,-1.69040100553669,-0.322704058840122,-0.619538334908686,-1.02150962930055,-1.82175131366359,-0.91901010546613,0.180612153181187,-0.738387769913706,-1.28253209097134,-0.806051424693418,-1.24930210506924,-1.43251335918843,1.38808202830001,-1.14505900089917,-0.236157159842487,-1.37918665076731,-0.348996870504421,-1.47777469840447,-0.740814828559975
1,"2023-11-12",0.707908920366999,0.307074758433364,-0.301177347478699,-0.366228882189127,1.00549459633993,0.63419819249614,1.36898979864032,-0.1828020152566,-0.40252382962779,0.335217432535571,-0.536036941941499,-0.920088114677596,-0.412783569994093,-0.415794648845864,-0.48836647889696,0.555836334829211,-0.51544773434981,0.741035271955191,-1.0645701307161,-2.05908235962159,-1.63231577600448,-1.15075757835179,0.790613878866597,-1.97257534926289,-1.21333235161322,-0.36070789610581,-1.35949427662437,-0.409187911483584,-0.768101254009125,-0.609965226948127,-0.272725274168607,-1.02908070047482,-2.03037579717175,-1.9783820663305,-0.391048013089516,0.471493382778362,1.28374231561443,0.731557275219142,0.505279170904478,-0.409187911483584,-1.02160935908887,0.743652154383253,-0.410156231974796,1.14773209074039,0.998250221696371,-0.977965074159136,-0.659618670195969,-0.491727518316944,0.221484199547866,1.44295481715041,-0.710352215808422,-0.537955261820701,1.30387222508516,1.29254289341684,0.958639456839584,-1.77771677760895,-1.67839067702869,-2.03670614213325,-1.61398805884856,-0.157470133936877,-1.64152829324381,-1.31408570569031,-1.3985962553555,-1.02153943564621,-2.05821257453642,-1.02900981872708,-1.74648386973959,-1.3488085055709,-0.409204939891675,-0.886169662636334,-1.48777318799125,-1.54933491357191,-0.887257869357241,-0.533674945441471,-1.02570353156673,-0.331189636087279,0.989467296856908,-1.6935543385258,-0.771270896982741,-0.772573961069769,-1.13304935118588,-1.7572556802246,-0.940714398444281,-0.210476511980224,-0.863943234637696,-1.26740395937064,-1.06451462895632,-1.21799265868508,-1.2115899115436,1.3328956140433,-1.20733152735181,-0.821403966859685,-0.941179861050895,0.129428839307758,-1.35089254636937,-0.585864180290578
1,"2023-12-06",0.820526981413388,-0.596963316390108,0.409022511204695,-0.0630355863427528,1.91973075087652,0.990285380575193,-1.22905506526818,-0.638555121501113,-0.732821425015176,-0.0308852016505806,-0.429544575973305,-0.822416845302815,-0.927103441674937,-0.92481876491734,-0.429497635018607,0.589666360949172,-1.2374384365513,0.547565950348839,-1.07693423963913,-2.04874769764042,-1.62030792883862,-1.10556524701951,0.895693433115115,-2.0086572515266,-1.29638909973496,-0.30186101715056,-1.38861474109788,-0.368215471955265,-0.702913748399819,-0.600629953397267,-0.57224269893195,-1.13629265262439,-2.06903847853025,-2.10544017150854,-0.853630556027269,0.25158466093698,1.32753770170072,0.967324407683724,0.929085198133422,-0.368215471955265,-1.12376344558582,0.503522970455693,-0.933809518346492,1.05969582241654,0.0859047407519584,-0.164564896035414,-0.926088521829168,-0.8814102090879,0.121560290904545,1.94654333473611,-0.611324617893035,-0.561234732461453,1.99040263844866,1.6935094121117,2.01732457600234,-1.79318252041546,-1.83026429796142,-2.05545914078045,-1.51914866652881,-0.331072233681433,-1.63434609678163,-1.37169679928008,-1.460142599881,-1.12377691292856,-2.09821383425616,-1.13630938064046,-1.71408636983778,-1.30080356115006,-0.368219116000788,-0.969657275726642,-1.54332672172448,-1.54530213874539,-0.891800627307217,-0.797352599918979,-0.990151363825188,-0.753461101036226,0.939323219285094,-1.64428314800576,-0.383315603986384,-0.480488488083729,-1.16888798318785,-1.71554738911895,-1.08360817362707,-0.230593796009516,-0.778945554064411,-1.46093885542622,-1.07693676290069,-1.15891699047282,-1.06508375479944,1.18692099511546,-1.07532067895692,-0.845665431232444,-0.946007034392189,-0.351707129189886,-1.3014629361062,-0.779959795376618
1,"2023-12-09",1.16202561707058,-0.166177317965513,-0.301177347478699,0.0879276804366801,1.38456812383071,1.16758508523632,1.65256018399416,0.045170612393146,-0.729546922991939,-1.21054924513938,-0.803223312848751,-1.23091303100192,-1.45424881399106,-1.20225908082819,-0.748319880165489,0.348627424844449,-1.40013797222234,0.401223771185061,-0.834322946771555,-2.0960331412063,-1.83004845710414,-1.50492476398367,0.93893634534296,-2.08974539237674,-1.19313295047002,-0.806325297138215,-1.4967764662852,-1.08909206382264,-1.24980166865317,-1.13845240268965,-0.901177013627407,-0.93037176521986,-2.10932828958441,-2.33447845127612,-1.30419796797963,0.359583205920664,1.07936384721167,0.766485739288059,0.816070257539169,-1.08909206382264,-0.927557148417531,0.685338906385605,-1.22357589453864,0.619514480797209,-0.350270779202644,0.326370158350353,-1.02431575690006,-1.03063474214461,0.42945378741087,1.42281127644702,-0.254825265397923,-0.0723658490036042,1.34816450981835,1.20651469001001,1.77613112068343,-1.92284440715236,-1.85217709285891,-2.09756532523027,-1.8371969212459,-0.704425680364487,-1.61792314831977,-1.26308229773276,-1.37043271983771,-0.92753966478435,-2.1399027327187,-0.930355836825882,-1.73075351155907,-1.18714846713935,-1.08906892531206,-1.00291216010179,-1.43733652148509,-1.43073332032342,-0.659699254768846,-1.06305837958392,-1.41686675803427,-1.48851194169952,1.74593928204971,-1.98821090967176,-1.21296458592522,-1.34250380570954,-1.5547790415954,-1.71686269877913,-1.57249149411132,-0.87340513035137,-1.34160240758332,-1.21729502348428,-0.834434201945347,-1.54185376377903,-1.4834512149272,1.12281765501608,-0.902900334185766,-0.591397959328201,-1.72790334103627,-0.222032404714647,-1.18443484516367,-0.739444794082125
1,"2023-12-17",0.472460445658759,0.236618956946667,-0.0881173898736804,-0.51591012639537,1.31767279544998,0.458404163971346,-0.84555987745632,-0.0285049475484337,-0.543469786280165,0.00979286881439079,-0.812829958862955,-1.45079853911286,-1.16610776334973,-1.19859123376539,-0.691664534900472,0.321140528621981,-0.426675992737232,0.401223771185061,-1.10028866760487,-2.04938374079534,-1.60790477925262,-1.45648352895454,1.37057597271686,-2.1702844773789,-1.58117407769475,-0.920623253893168,-2.15406695011583,-1.24790282839328,-1.17273829023055,-1.10352444864234,-0.446552351040189,-0.730920564582972,-1.82858112976637,-2.00339914955947,-1.23210718206725,1.73289292629886,1.21075000547037,1.01098498776958,0.99971953600479,-1.24790282839328,-0.737515321986124,2.06865483507899,-1.22012661896832,1.0596958224162,-0.0397351901474496,0.0472600786601908,-0.958600979815311,-0.932723965167622,0.261653013936351,2.20840936388073,-0.769768774557692,-0.654352615025208,2.18971791974793,2.02797334921865,2.6434224531585,-1.88499980545057,-1.91106216360647,-1.81787952978717,-1.7923396579422,0.0173026796261958,-1.8820244929324,-1.61973232982265,-1.61870785301769,-0.737420309925456,-1.84941887541276,-0.730823101571883,-1.92907701888176,-1.6099949719786,-1.24791174649854,-1.06137459133529,-1.57623927690185,-1.49962475954679,-0.846257851300923,-0.815316980244154,-1.25014838317283,-1.16991588514513,1.59600927669043,-1.80334039530237,-0.773819900524264,-0.846688598198752,-1.13851791379894,-2.05507916106061,-1.12472013484799,-0.352010119374789,-0.901021237375915,-1.08851006696365,-1.10019315922775,-1.39514593681173,-1.36457176760317,1.62291008812368,-1.28704638572318,-0.63898428118142,-1.59405126459232,-0.295851896267835,-1.80062295059502,-0.850806099175163
1,"2024-01-13",0.618248674564207,-0.140695917109157,-1.15341717789877,-0.034399440896726,0.849405496784901,0.769697894862093,0.280619652948922,-0.621396674127452,0.212228332821667,0.619963925791419,-0.685534346809926,-1.1129671347634,0.0993854379819899,0.0749851882496171,-0.543213638396222,0.437959837567472,-0.843912214669344,0.254881592021283,-1.03846812298969,-2.03242466857001,-1.62585591926748,-0.773643628697655,1.22142068039946,-1.92403292956031,-1.14888031507076,0.277518790134834,-1.35533421027101,-0.63601179070061,-0.828448482895659,-0.744150248821332,-0.903851276348509,-0.851441586654567,-1.9178132892976,-1.68340641312021,0.119595053789822,0.144639917818729,1.48812078401724,0.644236115047105,0.29337615728995,-0.63601179070061,-0.85235060542753,0.391603190594662,0.0905041333379155,1.29445920461372,1.63098161647226,-1.47805108657017,-0.516051813361924,-0.263772027854068,-0.246692582253135,1.01994046237827,-0.591519098310074,-0.677632085665898,1.10455694378608,0.785483323793141,0.0164562646763524,-1.52828130727302,-1.52490017258967,-1.84711106640838,-1.52639492068123,0.165398819047753,-1.44412535345654,-1.08419088763226,-1.31465942286198,-0.852379248965381,-1.94174354772357,-0.851474003030909,-1.58928981243541,-1.13277354755549,-0.636014644036255,-0.793163840805874,-1.41499705721348,-1.50091087601841,-0.838454629930574,-0.371783343831716,-0.846847877501313,0.128638915951593,0.13827190241908,-1.36856895609392,-0.55366559954916,-0.661228072387,-0.899938314070935,-1.63266803858978,-0.980480018691991,-0.772657846667315,-0.684323118541776,-1.38456576916093,-1.0385773569129,-0.759511710995998,-0.880279004391493,1.52164371627654,-1.21389685160514,-0.79504018536649,-0.151613427461085,-0.134150125069386,-1.17802352882837,-0.452895187769917
1,"2024-01-27",0.999966806409244,-1.4358709516736,-0.940357220293753,0.267296607903953,1.89743230808294,1.10663122645846,0.140184795440355,0.0170194756995666,0.470059774738288,0.619963925791563,-0.712362367754752,-1.18093126731054,-0.0557883488840277,-0.0674673281385272,-0.583093019988677,0.653626254082224,-0.522867970366679,0.693908129512618,-0.624407853056006,-1.76049335554748,-1.5773855088029,-1.14341490532413,0.663460471339992,-1.71932660757214,-0.864892681892934,-0.407231876641943,-1.32621374579751,-0.756148431256639,-0.924389512110795,-0.82221148853557,0.149808235765396,-0.574723841192638,-1.71113417429081,-1.50971630254375,-0.174775655352381,0.559173652117811,1.15235615735545,0.469593794702759,0.335756760012672,-0.756148431256639,-0.588687385624178,0.815669095101974,-0.052772370693752,0.619514480797027,0.414066967461198,-0.484608694009957,-0.371379917971892,-0.30094968425771,0.000634590471773959,0.959509840267772,-0.472685980811762,-0.584514203102495,1.08241080141923,0.961234926908332,0.898373563936131,-1.59057403193658,-1.60272974722225,-1.55309513721748,-1.62157224709654,-0.0660443600776949,-1.40725581886514,-1.0688605817376,-1.27315526212325,-0.588773779244051,-1.72790027985761,-0.57481663460858,-1.56704929254079,-1.09244550121995,-0.756160372263648,-0.795749224618273,-1.25740659849465,-1.16725694760489,-0.481697615542425,-0.264302048319239,-1.1015552648609,-0.24081101470217,1.11741756880032,-1.6364723851868,-0.690338161260867,-0.846007531387286,-1.05947478105015,-1.55051169595456,-0.70572759858696,-0.754126254803229,-0.805465865018836,-1.01608511397832,-0.624473771491641,-1.17236598732439,-1.37125679053538,1.48772507691117,-1.03502457257154,-0.57594331681207,-1.13933754974595,-0.162209608592913,-1.08692133374026,-0.398759051305015
1,"2024-02-07",1.07004258031846,-0.756226018403853,-0.443217319215377,0.440568340292634,1.56295566617931,1.30014067629376,-0.931981328230823,-0.294947652456108,0.196994779930956,0.131827080209811,-0.514967508621218,-0.762001355506114,-0.265990892250531,-0.272063500933113,-0.497852424021592,-0.280399623323578,-0.770464042423685,-0.0427635181423346,-0.739256687052209,-1.74522208411231,-1.47673678649951,-0.909623904274694,0.652057584776781,-1.68499209733255,-0.914195167577995,-0.0946968890489927,-1.16397115801653,-0.303408649321829,-0.743521202810679,-0.514801601971737,-0.315513477706227,-0.688035783723141,-1.70585211980887,-1.52913101946606,-0.270896703235551,0.154271645516902,1.19615154344179,0.495790142754474,0.33575676001276,-0.303408649321829,-0.696653687387341,0.36356359527383,-0.263901440207242,0.707550749121035,0.567420063588237,-0.623718322758688,-0.514769209530759,-0.41639750033757,0.0834000893636592,0.878935677454104,-0.39346390247946,-0.37499896733502,0.883095520120396,0.790486175670778,0.598363703737299,-1.48552061817805,-1.43541097494175,-1.5313179849414,-1.46826398735183,-0.1043907753604,-1.29495466427556,-0.995369418735971,-1.18417499364666,-0.696594443478647,-1.7224339355405,-0.687975823832632,-1.41480641078288,-0.933020595077304,-0.303393220095043,-0.763627540746367,-1.25366563940939,-1.20364141821369,-0.567777390138961,-0.459548169665088,-0.947691931737893,-0.382362672893566,0.592831278747606,-1.47317510468473,-0.787404977549892,-0.780053551007509,-1.01646424153566,-1.40752331914574,-0.941236121655381,-1.01436482163799,-0.807480754976797,-1.15215726502419,-0.739449959811643,-0.994042139157805,-1.12042293682229,1.27879859468767,-0.942139645634991,-1.03678061251767,-0.574165613146103,-0.251505954609685,-0.9352675662672,-0.454602495225838
1,"2024-02-15",0.507825055802866,-1.51620743953903,-0.727297262688735,-0.0121403822463529,1.29537435265641,0.794556752245307,0.491271939211775,0.380732783649828,-0.106394951004614,-0.356309765371761,-0.819104772212611,-1.3458157571264,-0.659595083573706,-0.637228248396372,-0.685986470268384,0.298410979822632,-0.589253885194877,0.483076176480056,-0.426856868263491,-1.51761217041086,-1.41592986171206,-1.09372706396758,0.353522173514791,-1.52384856353681,-0.718181242010706,-0.459058715046681,-1.09325003000943,-1.21720187301264,-1.11999442065573,-1.10558978837949,0.358400728011297,-0.537199657940286,-1.56330393611487,-1.6043533472363,-0.739486811666005,0.540452088005533,0.860386916780125,0.137773386048961,-0.00328806177042515,-1.21720187301264,-0.552933455350243,0.747550233423699,-0.638419370081429,0.208678561952354,0.364916831749676,-0.437885291644741,-0.304562412076051,-0.24335980867166,0.277207608313847,0.496208404089006,-0.492491500394899,-0.654352615025022,0.617341811721387,0.744405680433273,0.674001578448616,-1.39225467989987,-1.39832019921757,-1.40197858921299,-1.45638111010295,-0.387179740975489,-1.20727650904823,-0.895173047156024,-1.12223372711173,-0.552920832374461,-1.57494175704602,-0.537188500633925,-1.37040374089146,-0.89838239310611,-1.2172208322957,-0.667851806763979,-1.05190855096744,-0.93454101693808,-0.29606216605706,-0.391578656575074,-1.19500127782489,-1.06584108455924,1.28244866983741,-1.56570644132664,-1.05655485392109,-1.12448801660336,-1.13865545273411,-1.34971043047761,-0.909076728964571,-1.04043391917804,-0.962120797041422,-0.750625645250403,-0.426997382211217,-1.15696311143857,-1.21789226880027,0.948577254288683,-0.636882970768678,-0.516778899197333,-1.25618816333868,-0.0895198982508504,-0.887098921356387,-0.344255892235957
1,"2024-02-28",-0.81254459192624,-1.2549296764387,-1.36647713550379,-1.3949883606727,0.180452212977638,-0.74980423906475,-0.14068491957678,0.171464952424713,-0.0366338209443472,-0.152919413045784,-0.50399728186347,-0.73813025487122,-0.694161449672054,-0.694371051625049,-0.460589070351681,0.454874850627453,-0.910951527329474,0.468193920971875,-0.302391505104927,-1.45291660440849,-1.41726253098755,-0.862124448184159,0.259537468989997,-1.43642885009054,-0.568280423000604,-0.0629474464838291,-0.881086645988153,-0.354709321529032,-0.690583950796428,-0.601984349427891,-0.28074806233191,-0.505960313262219,-1.560144490672,-1.57965813772085,-0.709448984202515,0.248741431441966,0.699803834463763,-0.0194047022606782,-0.172810472661955,-0.354709321529032,-0.523167868077854,0.447859789640825,-0.695467478740555,0.0326060253047819,0.39644778668108,-0.467354382230342,-0.101711058089361,-0.0407636724353303,-0.265154920007542,0.0530505086135359,-0.294436304564267,-0.537955261820846,0.240857391489871,0.233885914848833,0.0304943280828892,-1.14915766665411,-1.13448263362568,-1.39665640480529,-1.44126693681102,-0.525458765866012,-0.937898086269765,-0.574310437272917,-0.954176514119192,-0.523236841831859,-1.57167231749906,-0.506034766546119,-1.21757326795079,-0.705482515745589,-0.354711145090734,-0.574797822830298,-0.935830054992394,-0.825583750936315,-0.171261964454502,-0.201322757768966,-1.1747806157851,-0.997771166696761,0.435899001240913,-1.10207248901139,-0.857747545664568,-0.938415978419047,-1.22015947906991,-1.21198295269899,-0.824575592098548,-1.19144409051176,-0.951346776143364,-0.866597865422244,-0.302513809291582,-0.504541628594051,-0.543728909426783,0.586698686462693,-0.444202967963417,-0.964093889738424,-0.391017118594398,-0.325642440351582,-0.68847426148481,-0.270527115984947
1,"2024-03-06",0.272647389286872,-1.51267298488731,-0.443217319215377,-0.470440204937485,1.18388213868853,0.282728730617041,-1.59094489038641,0.0534429644565308,1.2177851932618,0.741998137186983,-0.61752709251004,-0.961454149994134,0.718842840340664,0.692694859759742,-0.461042585565929,0.268281112809541,-0.488919087269362,0.426027530365362,-0.361464469959433,-1.5587970039778,-1.50991799934767,-1.02115792366123,0.399225526853581,-1.42756878816273,-0.456917935118986,-0.255516455631231,-0.931007442228454,-0.432454809276674,-0.595516476738698,-0.605327801832389,0.040163464200244,-0.264733420925668,-1.46963998912311,-1.09393747634701,0.660275948132651,1.08617183983564,1.00637153706783,0.286219358341583,0.137980613972686,-0.432454809276674,-0.293321173459701,1.34677086968254,0.709098760237582,0.414096521374821,0.460821549289192,-0.518695375869294,-0.177236410615887,-0.103239962942329,-0.41682752632288,0.476064863385656,-0.274630784981148,-0.677632085665795,0.860949377753762,0.459450888489238,0.27708039216479,-1.34168404604577,-1.41161643544115,-1.29831277096261,-1.44284621076005,-0.151217825910544,-1.21701502431547,-0.886121521986402,-1.23998186251584,-0.293367026397054,-1.47803133719946,-0.264783405999053,-1.51044290707859,-1.09796368875363,-0.432450633326487,-0.670442471168497,-1.17351572826098,-0.893728018031707,-0.204326670849733,-0.0920087716467114,-0.980105706270543,0.394311445840748,0.29394238725554,-1.25774544019713,-0.738511718871821,-0.722034337265086,-1.00725335288999,-1.53009069971729,-0.738478606546792,-1.07989369686097,-0.710328998588673,-0.868472298341586,-0.361314724942461,-0.671442190692045,-1.04147534952927,1.18109477506867,-0.902794361829103,-0.65969106279568,-0.287702402361316,-0.0994425981456908,-1.09260328718151,-0.158063118991298
2,"2023-11-08",0.285953359778199,-1.7893216790611,0.977182398151411,-0.138964620439235,0.26964598415194,-0.307485978114538,0.558788697629354,-0.287524717940873,-0.361806108817103,0.375895503000759,-0.341106762709728,-0.0236307990025114,0.303291803012813,0.253880925110622,-0.271332394939969,-2.62207174381464,-0.262103151579969,-4.10065852003965,0.0764997438921199,0.256594874493366,0.233238350524474,0.416593265918149,-0.324638779904414,0.377775862835782,0.28713763725474,0.442781465309505,0.604057042160806,0.0304997082746141,0.101152811209926,-0.0403752821369748,0.259453007330549,-0.0667610058356717,0.112021830483629,0.0580926365957402,0.317844715048857,-0.422943020732125,-0.327527150266358,-0.0979937464155985,-0.186937340236309,0.0304997082746141,-0.0624177124295108,-0.389761884350515,0.271330575610929,-0.202157356892293,-0.00228320558369791,-0.0977125581236949,0.116958562336181,0.105066903714775,0.898422453687079,0.758074433233432,-1.00743500955426,0.34666462253116,-0.622842160806179,1.58710133663981,1.9339853059627,-0.46448604417276,0.453202841550539,-0.133383927171001,0.334584363387988,-0.232752938084732,-0.34847970655009,-0.411017588764437,0.334618981878055,-0.0623563292111464,0.122089189145642,-0.0667113429197766,0.397959293981315,0.371235563387885,0.0305181293032966,0.0232521522120691,-0.12632486901921,-0.000973708637349264,-0.121591249446196,0.0637384707734763,0.307198922022389,0.580786764433352,0.0439959447188,0.279355882227705,-0.472935711390155,-0.0688533191659137,0.138902712031925,0.423811687350428,0.0976893984855381,0.71446740370102,0.0337633692923495,-0.227333653898962,0.0764340842714823,0.221349240789704,0.334922624892457,-0.145188033117409,0.0810511884794178,0.318248786773474,0.0423069692961791,-0.207750868244444,0.395309278961712,-0.026279476576139
